playerId,playerUrl,name,fullName,dateOfBirth,age,placeOfBirth,countryOfBirth,position,currentClub,nationalTeam,numOfAppsClub,numOfGoalsClub,numOfAppsNational,numOfGoalsNational,Timestamp
ab6ef765-19e2-415c-b8b1-c0e79b9270ae,https://en.wikipedia.org/wiki/Marc-Andr%C3%A9_ter_Stegen,Marc-André ter Stegen,Marc-André ter Stegen,1992-04-30,30,Mönchengladbach,Germany,Goalkeeper,Barcelona,Germany,231,0,30,0,1671586437.3350477
8dc550e3-219c-4897-9d39-783b7997f16b,https://en.wikipedia.org/wiki/Marc_Cucurella,Marc Cucurella,Marc Cucurella Saseta,1998-07-22,24,Alella,Spain,Left-back,Chelsea,Catalonia,13,0,1,0,1671586437.3948567
c3525186-0d82-4b34-bcc4-28b987fd120e,https://en.wikipedia.org/wiki/Ramzi_Aya,Ramzi Aya,,1990-02-08,32,Rome,Italy,Defender,Avellino,Italy U20,0,0,2,0,1671586437.523513
086d5179-c679-48e8-8644-071c7154b8fa,https://en.wikipedia.org/wiki/Koni_De_Winter,Koni De Winter,,2002-06-12,20,Antwerp,Belgium,Defender,Empoli,Belgium U21,8,0,8,0,1671586437.5594175
38437c73-e0a1-4b01-92a0-4240fe16db34,https://en.wikipedia.org/wiki/Jo%C3%A3o_Gomes_(footballer%2C_born_2001),João Gomes,João Victor Gomes da Silva,2001-02-12,21,Rio de Janeiro,Brazil,Midfielder,Flamengo,,81,1,,,1671586437.5743809
eb744fbc-6029-48d7-808e-dad164684f30,https://en.wikipedia.org/wiki/Andriy_Lunin,Andriy Lunin,Andriy Oleksiyovych Lunin,1999-02-11,23,Krasnohrad,Ukraine,Goalkeeper,Real Madrid,Ukraine,20,0,9,0,1671586437.5973146
3d1a86ad-397d-4ce0-a357-e67691ff3216,https://en.wikipedia.org/wiki/Cristian_Medina,Cristian Medina,Cristian Nicolás Medina,2002-06-01,20,Moreno,Argentina,Central midfielder,Boca Juniors,Argentina U17,42,1,10,1,1671586437.619257
84312619-858e-4cfa-9e28-46dd310e7292,https://en.wikipedia.org/wiki/Ahmed_Abdel-Ghani,Ahmed Abdel-Ghani,Ahmed Said Ahmed Hossam Abdel-Ghani,1981-12-01,41,El-Minya,Egypt,Striker,,Egypt,,,5,0,1671586437.6352139
d0b92b65-18a4-4742-b46f-bb33afecb1df,https://en.wikipedia.org/wiki/Zsombor_Tak%C3%A1cs,Zsombor Takács,,1999-02-22,23,Budapest,Hungary,Centre-Back,BVSC-Zugló,Hungary U-19,27,2,4,0,1671586437.6541667
b3316c7e-26ad-4c57-8646-f2dd43b6dde2,https://en.wikipedia.org/wiki/Vitaliy_Mykolenko,Vitalii Mykolenko,Vitaliy Serhiyovych Mykolenko,1999-05-29,23,Cherkasy,Ukraine,Left-back,Everton,Ukraine,28,1,28,1,1671586437.7159975
f4e63291-0258-4974-865d-c3fa9feb11b1,https://en.wikipedia.org/wiki/Hiroki_Yamada_(footballer),Hiroki Yamada,Hiroki Yamada,1988-12-27,33,Hamamatsu,,Attacking midfielder,Júbilo Iwata,Japan,145,18,2,0,1671586437.733949
4e5dec67-0652-4216-b0b6-ce9f04b5a2af,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,1985-02-05,37,Funchal,,Forward,,Portugal,40,19,196,,1671586437.9287379
3233b915-2a06-4a92-a7bc-f426753a76f5,https://en.wikipedia.org/wiki/Ederson_(footballer%2C_born_1993),Ederson,Ederson Santana de Moraes,1993-08-17,29,Osasco,Brazil,Goalkeeper,Manchester City,Brazil,196,0,19,0,1671586437.9775035
dea69c2f-2bea-41ea-842d-463533a731cf,https://en.wikipedia.org/wiki/Damien_Cahalane,Damien Cahalane,,,,,,,,,,,,,1671586437.994501
8870608b-6c21-46b4-9d1c-262f023eea73,https://en.wikipedia.org/wiki/Ismail_Al-Zaabi,Ismail Al-Zaabi,Ismail Omar Sultan Al-Zaabi,2001-07-14,21,Emirates,Emirates,Midfielder,Al-Wahda,U20 UAE,5,0,,,1671586438.058209
2b527701-615e-4254-917a-e21ad0d80fe0,https://en.wikipedia.org/wiki/Vitor_Hugo_(footballer%2C_born_1991),Vitor Hugo,Vitor Hugo Franchescoli de Souza,1991-05-20,31,Guaraci,Brazil,Centre back,Trabzonspor,,71,3,,,1671586438.1439824
98780b32-3eaf-4787-9dca-9bce6e8ea29c,https://en.wikipedia.org/wiki/Maurits_Kj%C3%A6rgaard,Maurits Kjaergaard,Maurits Kjaergaard,2003-06-26,19,Herlev,Denmark,Midfielder,Red Bull Salzburg,Denmark U21,32,4,10,2,1671586438.213787
d96bbe3e-6675-477b-b116-cc27b36171d9,https://en.wikipedia.org/wiki/Maarten_Vandevoordt,Maarten Vandevoordt,,2002-02-26,20,Sint-Truiden,Belgium,Goalkeeper,Genk,Belgium U21,65,0,7,0,1671586438.2297444
da475ae5-bb6f-4496-9938-632ddcf8d73b,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior,Vinícius Júnior,Vinícius José Paixão de Oliveira Júnior,2000-07-12,22,São Gonçalo,Brazil,Winger,Real Madrid,Brazil,5,4,20,2,1671586438.2915802
ee34236d-6c24-4c85-8780-d2a5768d861a,https://en.wikipedia.org/wiki/Dion_Drena_Beljo,Dion Drena Beljo,,2002-03-01,20,Zagreb,Croatia,Forward,Osijek,Croatia U21,34,15,2,0,1671586438.3115282
a1cd334a-aa34-4ffc-9130-c8f516eba355,https://en.wikipedia.org/wiki/Junior_Sornoza,Junior Sornoza,Junior Nazareno Sornoza Moreira,1994-01-28,28,Portoviejo,Ecuador,Attacking midfielder,Independiente del Valle,Ecuador,0,0,13,2,1671586438.3284886
81ecfe1e-a244-4503-bb17-224fddd3ee7a,https://en.wikipedia.org/wiki/Jolie_Tuzolana,Jolie Tuzolana,Jolie Tuzolana Diasilua,1986-04-06,36,,,Forward,,DR Congo,,,3+,0+,1671586438.3384607
2b314ba8-c4ab-4715-977a-54d0ff717f07,https://en.wikipedia.org/wiki/Andrea_Sta%C5%A1kov%C3%A1,Andrea Stašková,,2000-05-12,22,Znojmo,Czech Republic,Striker,Atlético Madrid,Czech Republic,1,0,24,9,1671586438.4062736
a4348151-3873-4e2f-87a5-55149717ea96,https://en.wikipedia.org/wiki/Dejan_Ljubi%C4%8Di%C4%87,Dejan Ljubičić,,1997-10-08,25,Vienna,,Midfielder,1. FC Köln,Austria,39,6,3,1,1671586438.4341977
c2be88b8-b7ce-42c2-aab6-ed3aceb1b3ad,https://en.wikipedia.org/wiki/Isaka_Cernak,Isaka Čerňák,Isaka Aongor Čerňák-Okanya,1989-04-09,33,  Galiwin'ku,,Attacking midfielder,Olympic FC,Australia U-23,24,1,5,1,1671586438.4541478
02f08040-7aa4-4a51-9f95-db1e3154dc96,https://en.wikipedia.org/wiki/Achraf_Hakimi,Achraf Hakimi,Achraf Hakimi Mouh,1998-11-04,24,Madrid,Spain,Right-back,Paris Saint-Germain,Morocco,46,7,61,8,1671586438.4910502
e6c6a43d-6bf9-4ed4-a39d-016fe626783c,https://en.wikipedia.org/wiki/Valent%C3%ADn_Barco,Valentín Barco,,2004-07-23,18,Buenos Aires,Argentina,Left-back,Boca Juniors,Argentina U16,3,0,1,0,1671586438.5642793
413edeff-2e8c-4117-82ac-b028beb6bdb0,https://en.wikipedia.org/wiki/Emiliano_Mart%C3%ADnez,Emiliano Martínez,Damián Emiliano Martínez,1992-09-02,30,Mar del Plata,Argentina,Goalkeeper,Aston Villa,Argentina,89,0,26,0,1671586438.599186
ca30d0a8-0b89-47b9-8383-bb072e0bcfd2,https://en.wikipedia.org/wiki/Ivan_Kucherenko_(footballer),Ivan Kucherenko,Ivan Vasilyevych Kucherenko,1987-06-01,35,Ukrainian SSR,Soviet Union,Defender,,,,,,,1671586438.613631
8ce7fcaa-838f-47b9-9943-959555de91b9,https://en.wikipedia.org/wiki/Ben_Brereton_D%C3%ADaz,Ben Brereton Díaz,Benjamin Anthony Brereton,1999-04-18,23,Stoke-on-Trent,England,Striker,Blackburn Rovers,Chile,124,40,17,4,1671586438.6367164
dcec0c63-bce3-4692-9367-11cb7ee6634d,https://en.wikipedia.org/wiki/Thiago_Almada,Thiago Almada,Thiago Ezequiel Almada,2001-04-26,21,Ciudadela,Argentina,Attacking midfielder,Atlanta United,Argentina,29,6,3,0,1671586438.6676319
6ba0222f-39b2-4d3c-94a4-ba792e8b4ae2,https://en.wikipedia.org/wiki/Sulaiman_Said_Al-Shukaili,Sulaiman Al-Shukaili,Sulaiman Said Saif Al-Shukaili,1984-10-29,38,Oman,Oman,Defender,Al-Salmiya,Oman,,,,,1671586438.679638
d2ab8c21-29ac-4d73-8c3b-ea368fdf3b48,https://en.wikipedia.org/wiki/Kelechi_Iheanacho,Kelechi Iheanacho,Kelechi Promise Iheanacho,1996-10-03,26,Owerri,Nigeria,Forward,Leicester City,Nigeria,132,26,44,12,1671586438.7142165
2ce7dce1-cc4c-46b4-aab2-c3c837932fe6,https://en.wikipedia.org/wiki/Raphinha,Raphinha,Raphael Dias Belloli,1996-12-14,26,Porto Alegre,Brazil,Winger,Barcelona,Brazil,13,2,16,5,1671586438.7441702
8b25b86e-4809-46c1-80fb-d245e0647243,https://en.wikipedia.org/wiki/Nilufar_Kudratova,Nilufar Kudratova,Nilufar Gulmurod qizi Kudratova,1997-06-05,25,Qarshi,Uzbekistan,Forward,,Uzbekistan,,,26,21,1671586438.765114
e0f14d9f-622c-4bd3-8584-43c49987d2c9,https://en.wikipedia.org/wiki/Abde_Ezzalzouli,Abde,Abdessamad Ezzalzouli,2001-12-17,21,Beni Mellal,Morocco,Winger,Osasuna,Morocco,8,0,5,0,1671586438.7959955
20e12418-f2cb-4087-a432-7c5ad3599000,https://en.wikipedia.org/wiki/Cenk_Tosun,Cenk Tosun,Cenk Tosun,1991-06-07,31,Wetzlar,Germany,Striker,Beşiktaş,Turkey,12,4,47,18,1671586438.8842156
db239559-5574-4c03-a3a7-5be00efdd21c,https://en.wikipedia.org/wiki/Aur%C3%A9lien_Tchouam%C3%A9ni,Aurélien Tchouaméni,Aurélien Djani Tchouaméni,2000-01-27,22,Rouen,France,Defensive midfielder,Real Madrid,France,12,0,21,2,1671586438.958066
9f1b5f4b-708e-489e-a8c3-ded0962f855d,https://en.wikipedia.org/wiki/Nicolas_%C5%A0ikula,Nicolas Šikula,Nicolas Šikula,2003-05-15,19,Slovakia,Slovakia,Right-back,Železiarne Podbrezová,Slovakia U17,10,0,2,0,1671586438.9669964
f7242a06-6ec9-407c-ab6d-34f58c40a0a4,https://en.wikipedia.org/wiki/Jean_St%C3%A9phane_Yao_Yao,Jean-Stéphane Yao Yao,Jean-Stéphane Yao Yao,1990-10-06,32,Bouaké,,Central midfielder,CSS Richard-Toll,,1,0,,,1671586438.9929276
c0c0f4e7-5bf9-46e8-ac27-801d538da071,https://en.wikipedia.org/wiki/Abderraouf_Othmani,Abderraouf Othmani,Abderraouf Othmani,2001-06-14,21,Hammamet,,Striker,USM Alger,,24,5,,,1671586439.1682525
d12c5a53-db20-4573-b460-71a89c391fd5,https://en.wikipedia.org/wiki/Caoimh%C3%ADn_Kelleher,Caoimhín Kelleher,Caoimhín Odhrán Kelleher,1998-11-23,24,Cork,Ireland,Goalkeeper,Liverpool,Republic of Ireland,4,0,9,0,1671586439.1901946
9a44dc60-9d07-4fe3-b6ce-f8740519ecf9,https://en.wikipedia.org/wiki/Ilaix_Moriba,Ilaix Moriba,Moriba Kourouma Kourouma,2003-01-19,19,Conakry,Guinea,Central midfielder,Valencia,Guinea,20,0,10,0,1671586439.2091541
3ae14b60-d3a1-4bd6-b790-9f4d8089cde9,https://en.wikipedia.org/wiki/Ali_Al-Zaqaan,Ali Al-Zaqaan,Ali Ahmed Al-Zaqaan,1991-11-01,31,Saudi Arabia,Saudi Arabia,Winger,Al-Fayha,Saudi Arabia,0,0,2,1,1671586439.2234142
af068c6b-9297-422e-b210-1f98b0c4db7f,https://en.wikipedia.org/wiki/Mohammad_Javad_Mohammadi,Mohammad Javad Mohammadi,Mohammad Javad Mohammadi Marzroudi,1996-07-20,26,Tehran,Iran,Midfielder,Havadar,,16,3,,,1671586439.2324255
a16bac4f-ace9-4306-99ff-94469b3bdc62,https://en.wikipedia.org/wiki/Alejandro_D%C3%ADaz_(footballer),Alejandro Díaz,Alejandro Díaz Liceága,1996-01-27,26,Mexico City,Mexico,Forward,Sogndal,Mexico U23,8,5,3,0,1671586439.2669647
55bca24a-a8d9-47a7-b456-e72e4e1f6800,https://en.wikipedia.org/wiki/Hannah_Wilkinson,Hannah Wilkinson,Hannah Lillian Wilkinson,1992-05-28,30,Whangarei,New Zealand,Striker,Melbourne City,New Zealand,14,14,105,27,1671586439.3224895
2e2b34bf-5973-4794-a7de-cfadef92a10f,https://en.wikipedia.org/wiki/Diego_Polenta,Diego Polenta,Diego Fabián Polenta Musetti,1992-02-06,30,Montevideo,Uruguay,Centre-back,Unión Santa Fe,Uruguay Olympic,10,1,1,0,1671586439.340481
5eeb56a7-de3a-409a-a84c-6b2a37269a89,https://en.wikipedia.org/wiki/Luo_Zuqing,Luo Zuqing ,,1993-04-27,29,Meizhou,,Goalkeeper,Shenzhen Pengcheng,,30,0,,,1671586439.3494186
277d425e-e64f-45ef-a97e-1bc129ca13e9,https://en.wikipedia.org/wiki/Brandon_Wakeham,Brandon 'Wakes' Wakeham,,,,,,,,,,,,,1671586439.362417
569df79c-8574-4056-88ed-58354d7769e4,https://en.wikipedia.org/wiki/Darryl_Roberts,Darryl Roberts,Darryl Roberts,1983-09-26,39,"Saint Joseph, Trinidad and Tobago","Saint Joseph, Trinidad and Tobago",Striker,,Trinidad and Tobago,0,0,29,6,1671586439.3942971
cdd46bb1-1d5a-49df-91fd-89e137c42b3e,https://en.wikipedia.org/wiki/Shunnosuke_Matsuki,Shunnosuke Matsuki,,1996-10-24,26,Kanagawa,Japan,Midfielder,Fagiano Okayama,,0,0,,,1671586439.4411745
178a7d6e-704e-43f1-87c8-8883b1afacef,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,Kylian Mbappé,Kylian Mbappé Lottin,1998-12-20,24,Paris,France,Forward,Paris Saint-Germain,France,129,118,66,36,1671586439.5857844
d50bb964-3952-4a46-a58e-92cf8c6e6c95,https://en.wikipedia.org/wiki/Jung_Hoon,Jung Hoon,,1985-08-31,37,South Korea,South Korea,Defensive Midfielder,,,31,0,,,1671586439.6068814
ff415195-3262-4cfc-bdec-20fa558e3dd8,https://en.wikipedia.org/wiki/Jurri%C3%ABn_Timber,Jurriën Timber,Jurriën David Norman Timber,2001-06-17,21,Utrecht,Netherlands,Centre-back,Ajax,Netherlands,65,4,14,0,1671586439.6298153
9d49ae11-0b6a-48da-8986-3c7ee1e8e858,https://en.wikipedia.org/wiki/Badr_Benoun,Badr Benoun,Badr Benoun,1993-09-30,29,Casablanca,Morocco,Centre-back,Qatar SC,Morocco,8,2,17,5,1671586439.6478286
2ccea335-5c64-4adb-af30-50218e3c58fa,https://en.wikipedia.org/wiki/Hirving_Lozano,Hirving Lozano,Hirving Rodrigo Lozano Bahena,1995-07-30,27,Mexico City,Mexico,Winger,Napoli,Mexico,102,23,63,16,1671586439.7076066
1b2e4d54-6c8a-4d85-9c5f-5c14b7fe40ea,https://en.wikipedia.org/wiki/Sora_Igawa,Sora Igawa,,2000-01-15,22,Katō,,Defensive midfielder,Hokkaido Consadole Sapporo,Japan U18,0,0,,,1671586439.71958
69bf26dc-0def-4fb2-9787-779f9b95c8bf,https://en.wikipedia.org/wiki/Erik_Lamela,Erik Lamela,Erik Manuel Lamela Cordero,1992-03-04,30,Buenos Aires,Argentina,Winger,Sevilla,Argentina,33,8,25,3,1671586439.7863982
a34cb99f-adf7-4612-bb0b-1c6f38baf60f,https://en.wikipedia.org/wiki/Hannibal_Mejbri,Hannibal Mejbri,Hannibal Mejbri,2003-01-21,19,Ivry-sur-Seine,France,Midfielder,Birmingham City,Tunisia,17,0,20,0,1671586439.8453143
68c17496-20a7-4315-b8b9-0c0c7f63204e,https://en.wikipedia.org/wiki/Park_Sun-yong,Park Sun-yong,,1989-03-12,33,South Korea,South Korea,Midfielder,Pohang Steelers,,7,0,,,1671586439.8662584
e4adb6f8-02cd-4936-91e8-9a8259f4150e,https://en.wikipedia.org/wiki/Jackson_Porozo,Jackson Porozo,Jackson Gabriel Porozo Vernaza,2000-08-04,22,San Lorenzo,Ecuador,Centre-back,Troyes,Ecuador,11,2,7,0,1671586439.9610052
f0a50937-d9cc-4f35-b06c-e3ec58add9bb,https://en.wikipedia.org/wiki/Ahmed_Salem,Ahmed Salem,Ahmed Mohamed Salem,,,,,,,Egypt,,,,,1671586440.0260987
abee1945-c46d-4df8-adb0-6cf1faf3e72f,https://en.wikipedia.org/wiki/Kyogo_Furuhashi,Kyogo Furuhashi ,,1995-01-20,27,Ikoma,,Forward,Celtic,Japan,34,22,16,3,1671586440.0610056
1438c89a-96ad-4c55-8c1e-cade54927ba9,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Estoyanoff,Fabián Estoyanoff,Fabián Larry Estoyanoff Poggio,1982-09-27,40,Montevideo,,Winger,Fénix,Uruguay,52,6,30,4,1671586440.1128676
92446432-2f8d-4487-b48d-afb774924a14,https://en.wikipedia.org/wiki/Ahmed_Nabil_Koka,Ahmed Nabil Koka,,2001-07-04,21,,,Midfielder,Al Ahly,Egypt U23,5,0,,,1671586440.1248367
93d91eef-4bcb-4ed9-a7e5-80832de9724e,https://en.wikipedia.org/wiki/Nora_Heroum,Nora Heroum,,1994-07-20,28,Helsinki,Finland,Defender,Parma,Finland,0,0,80,1,1671586440.1407955
c3cc705d-c5c8-4627-8866-ec2649a03c0a,https://en.wikipedia.org/wiki/Youcef_Bela%C3%AFli,Youcef Belaïli,Mohamed Youcef Belaïli,1992-03-14,30,Oran,Algeria,Left winger,Ajaccio,Algeria,5,3,42,7,1671586440.1766958
be782665-b358-40fd-82f0-f3d573cc7db6,https://en.wikipedia.org/wiki/Marcelo_(footballer%2C_born_1988),Marcelo,Marcelo Vieira da Silva Júnior,1988-05-12,34,Rio de Janeiro,Brazil,Left-back,Olympiacos,Brazil,2,0,58,6,1671586440.249502
b2b40722-fcba-40af-8a9f-f1c8c84934e4,https://en.wikipedia.org/wiki/Erling_Haaland,Erling Haaland,Erling Braut Haaland,2000-07-21,22,Leeds,England,Striker,Manchester City,Norway,13,18,23,21,1671586440.3011613
a647572c-51ff-4d01-a67c-16ab7096e689,https://en.wikipedia.org/wiki/Felix_Afena-Gyan,Felix Afena Ohene-Gyan,Felix Afena Ohene-Gyan,2003-01-19,19,Sunyani,Ghana,Forward,Cremonese,Ghana,7,0,7,1,1671586440.3171186
abbce633-8e31-4707-80dc-d8b1c8aecc05,https://en.wikipedia.org/wiki/Eric_Bailly,Eric Bailly,Eric Bertrand Bailly,1994-04-12,28,Bingerville,Ivory Coast,Centre-back,Marseille,Ivory Coast,4,0,46,2,1671586440.3450453
8240607f-f96b-4622-8933-77d4ea8e1cc9,https://en.wikipedia.org/wiki/Norbert_K%C3%B6nyves,Norbert Könyves,,1989-06-10,33,Senta,,Right winger,Diósgyőr,Hungary,20,13,5,1,1671586440.3590114
d5164564-0ad6-421f-8d28-3b39f2ed513c,https://en.wikipedia.org/wiki/F%C3%A1bio_Carvalho_(footballer%2C_born_2002),Fábio Carvalho,Fábio Leandro Freitas Gouveia Carvalho,2002-08-30,20,Torres Vedras,Portugal,Winger,Liverpool,Portugal U21,11,2,4,2,1671586440.3979034
fadf9731-a970-4e61-b76b-d954c52742d5,https://en.wikipedia.org/wiki/Vladyslav_Dubinchak,Vladyslav Dubinchak,Vladyslav Yuriyovych Dubinchak,1998-07-01,24,Tomashpil,Ukraine,Left-back,Dynamo Kyiv,Ukraine U21,38,0,12,0,1671586440.4116597
182ce6e9-551a-4ec6-ae99-88519477ef71,https://en.wikipedia.org/wiki/Mamadou_Sylla_(footballer%2C_born_1994),Mamadou Sylla,Mamadou Sylla Diallo,1994-03-20,28,Kédougou,Senegal,Forward,Alavés,,12,0,,,1671586440.425589
08d1f4a4-689f-42ad-b841-848c338fc8bf,https://en.wikipedia.org/wiki/Hwang_Ui-jo,Hwang Ui-jo,Hwang Ui-jo,1992-08-28,30,Seongnam,,Forward,Olympiacos,South Korea,5,0,53,16,1671586440.4674745
9fe24699-6072-4c45-8cd1-09d40144aa35,https://en.wikipedia.org/wiki/Ahmed_Sayed_Gharib,Ahmed Sayed Gharib,,2002-02-23,20,Cairo,Egypt,Forward,Al Ittihad Alexandria,,0,0,,,1671586440.478321
f3a653b8-7180-472e-abd2-9b7d4a084837,https://en.wikipedia.org/wiki/Samuel_Mbapp%C3%A9_L%C3%A9pp%C3%A9,Samuel Mbappé Léppé,Mbappé Moumi Samuel,,,Douala,,Midfielder,,Cameroon,,,,,1671586440.4872966
a3c37e19-f212-464e-b6aa-d87dfd123d6f,https://en.wikipedia.org/wiki/Wahid_Faghir,Wahid Faghir,Wahidullah Faghir,2003-07-29,19,Vejle,Denmark,Forward,Nordsjælland,Denmark U21,0,0,4,1,1671586440.505247
4418bb20-3755-4c0a-80ad-cdaeb6d7e87d,https://en.wikipedia.org/wiki/Luis_Su%C3%A1rez,Luis Suárez,Luis Alberto Suárez Díaz,1987-01-24,35,Salto,Uruguay,Striker,Nacional,Uruguay,14,8,137,,1671586440.6174433
3071abf6-08ed-464e-929a-e5b1a09157f8,https://en.wikipedia.org/wiki/Sadio_Man%C3%A9,Sadio Mané,Sadio Mané,1992-04-10,30,Sédhiou,Senegal,Forward,Bayern Munich,Senegal,14,6,93,34,1671586440.705781
8cad9d61-ac1c-41e5-b83d-fcc90fb2d0f9,https://en.wikipedia.org/wiki/Sun_Jie_(footballer),Sun Jie ,,1991-02-09,31,Dalian,"Liaoning, China",Defender,Changchun Yatai,China U20,0,0,,,1671586440.728
4e75e856-acd0-4468-a983-081972181bdc,https://en.wikipedia.org/wiki/S%C3%A9kou_Mara,Sékou Mara,,2002-07-30,20,Paris,France,Forward,Southampton,France U21,9,0,2,0,1671586440.7697723
46800f35-0857-4ccc-bf67-2a7c00504bf5,https://en.wikipedia.org/wiki/Marcos_J%C3%BAnior,Marcos Júnior,Marcos Júnior Lima dos Santos,1993-01-19,29,Gama,,Attacking midfielder,Yokohama F. Marinos,Brazil U20,117,35,10,0,1671586440.7947366
b34227ea-01e1-44bc-a9a7-5a06c2cbed1b,https://en.wikipedia.org/wiki/Amer_Gojak,Amer Gojak,Amer Gojak,1997-02-13,25,Sarajevo,Bosnia and Herzegovina,Attacking midfielder,Ferencváros,Bosnia and Herzegovina,1,0,33,4,1671586440.8416488
e2c4bd5a-49fc-4e78-aceb-c5b27a836b4a,https://en.wikipedia.org/wiki/Pierre-Emerick_Aubameyang,Pierre-Emerick Aubameyang,Pierre-Emerick Emiliano François Aubameyang,1989-06-18,33,Laval,France,Striker,Chelsea,Gabon,6,1,72,30,1671586440.896498
6627ec05-91dc-4fb9-b44f-38044023a432,https://en.wikipedia.org/wiki/Mohamed_Salah,Mohamed Salah,Mohamed Salah Hamed Mahrous Ghaly,1992-06-15,30,Nagrig,,Forward,Liverpool,Egypt,194,124,87,49,1671586440.9923825
